#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
contig_168_pilon_pilon	26.4130	47561	0.0000	100.0000	47561	369	312	0.5077	20	21.31
contig_2679_pilon_pilon	12.7253	40418	0.0000	100.0000	40418	80	118	0.6344	13	4.62
contig_11038_pilon_pilon	7.8884	7887	0.0000	100.0000	7887	12	22	0.6506	8	1.60
contig_5205_pilon_pilon	7.9475	20734	0.0000	99.9807	20730	32	28	0.6815	8	3.18
contig_10293_pilon_pilon	15.2510	14119	0.0000	100.0000	14119	31	51	0.6085	17	5.29
contig_947_pilon_pilon	18.7569	62883	0.0000	100.0000	62883	215	218	0.6537	18	5.72
contig_11067_pilon_pilon	18.5140	27103	0.0000	100.0000	27103	68	96	0.6636	18	3.99
contig_2736_pilon_pilon	9.7239	3242	0.0000	100.0000	3242	11	8	0.5971	10	1.03
contig_5484_pilon_pilon	6.1322	3025	0.0000	100.0000	3025	7	12	0.6886	6	2.89
contig_8214_pilon_pilon	5.0350	4599	0.0000	100.0000	4599	8	5	0.6362	5	2.23
contig_2094_pilon_pilon	3.9448	9123	0.0000	84.4459	7704	14	6	0.6683	4	3.18
contig_10598_pilon_pilon	4.5195	4458	0.0000	99.9776	4457	9	9	0.6590	5	1.38
contig_1221_pilon_pilon	35.2279	57933	0.0000	100.0000	57933	334	371	0.6331	34	15.46
contig_9301_pilon_pilon	1.0455	4285	0.0000	100.0000	4285	0	2	0.6569	1	0.21
contig_9827_pilon_pilon	13.1839	11634	0.0000	100.0000	11634	66	57	0.6312	8	12.46
contig_1659_pilon_pilon	22.1614	46761	0.0000	100.0000	46761	168	190	0.6545	22	6.97
contig_2358_pilon_pilon	17.9353	10665	0.0000	100.0000	10665	47	38	0.6340	20	5.24
contig_459_pilon_pilon	18.9753	534359	0.0000	100.0000	534359	2094	1999	0.6411	16	9.34
contig_11566_pilon_pilon	3.4406	8086	0.0000	89.2530	7217	14	10	0.6165	4	2.12
contig_2843_pilon_pilon	17.7208	98082	0.0000	100.0000	98082	366	358	0.6609	16	8.83
contig_7345_pilon_pilon	6.4694	9707	0.0000	100.0000	9707	18	28	0.6389	6	3.81
contig_6627_pilon_pilon	17.3771	48257	0.0000	100.0000	48257	190	172	0.6560	17	6.49
contig_5365_pilon_pilon	9.3383	11346	0.0000	99.3302	11270	25	35	0.6360	11	4.66
contig_8739_pilon_pilon	14.5507	37676	0.0000	100.0000	37676	96	110	0.6563	14	5.91
contig_8245_pilon_pilon	4.2452	2932	0.0000	97.9877	2873	9	2	0.6629	4	1.71
contig_3361_pilon_pilon	22.6927	31842	0.0000	100.0000	31842	115	116	0.6440	21	7.65
contig_11244_pilon_pilon	31.9173	2600	0.0000	100.0000	2600	28	26	0.7025	35	6.90
contig_3701_pilon_pilon	30.5408	128217	0.0000	100.0000	128217	562	593	0.6541	29	13.98
contig_7115_pilon_pilon	5.6463	5757	0.0000	98.3846	5664	10	9	0.6626	5	3.37
contig_1517_pilon_pilon	20.9831	152432	0.0000	100.0000	152432	602	610	0.6597	18	14.55
contig_5920_pilon_pilon	27.8965	22841	0.0000	100.0000	22841	131	118	0.7237	27	13.93
contig_7049_pilon_pilon	13.8379	6282	0.0000	100.0000	6282	14	22	0.6679	14	2.77
contig_11345_pilon_pilon	20.4265	45020	0.0000	99.9733	45008	147	153	0.6459	23	8.64
contig_3523_pilon_pilon	7.7347	25653	0.0000	100.0000	25653	49	64	0.6614	7	4.62
contig_6415_pilon_pilon	5.4812	5569	0.0000	100.0000	5569	18	10	0.6489	5	1.50
contig_1588_pilon_pilon	19.3003	57769	0.0000	100.0000	57769	236	268	0.6637	15	14.89
contig_6652_pilon_pilon	3.9978	3643	0.0000	100.0000	3643	4	4	0.6209	4	1.58
contig_2370_pilon_pilon	4.2442	3251	0.0000	96.5857	3140	11	16	0.6374	3	2.32
contig_1060_pilon_pilon	18.3340	50984	0.0000	100.0000	50984	175	171	0.6511	17	4.56
contig_10636_pilon_pilon	2.6403	3372	0.0000	95.2254	3211	7	10	0.5324	2	1.57
contig_1914_pilon_pilon	6.7111	9376	0.0000	99.1788	9299	20	20	0.6764	7	4.36
contig_7327_pilon_pilon	12.8943	15174	0.0000	100.0000	15174	39	51	0.6318	14	4.90
contig_6655_pilon_pilon	24.3310	8612	0.0000	100.0000	8612	40	42	0.6497	23	4.68
contig_1767_pilon_pilon	56.2470	174964	0.0000	100.0000	174964	1560	1616	0.6594	31	74.71
contig_10242_pilon_pilon	20.7656	33417	0.0000	100.0000	33417	105	104	0.6675	21	4.92
contig_10265_pilon_pilon	1.4187	2305	0.0000	89.9783	2074	1	4	0.6284	1	0.73
contig_1965_pilon_pilon	10.3532	42965	0.0000	99.7882	42874	83	94	0.6465	11	5.69
contig_11502_pilon_pilon	2.3756	4310	0.0000	88.5847	3818	7	2	0.6645	2	1.36
contig_7174_pilon_pilon	6.3177	6370	0.0000	99.8744	6362	13	11	0.6183	5	4.13
