#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
contig_4814_pilon_pilon	34.6195	5424	0.0000	100.0000	5424	61	45	0.6757	41	15.59
contig_11285_pilon_pilon	23.5011	5688	0.0000	100.0000	5688	40	51	0.6097	23	8.53
contig_4568_pilon_pilon	32.4735	17109	0.0000	100.0000	17109	107	97	0.6608	35	10.79
contig_3601_pilon_pilon	23.4324	4568	0.0000	100.0000	4568	38	29	0.6350	24	6.19
contig_2327_pilon_pilon	19.5858	10900	0.0000	100.0000	10900	62	60	0.6206	20	8.05
contig_6606_pilon_pilon	55.6140	3588	0.0000	100.0000	3588	50	65	0.6778	56	4.64
contig_1055_pilon_pilon	4.2808	1403	0.0000	97.9330	1374	3	4	0.6518	4	1.92
contig_2512_pilon_pilon	69.8798	6254	0.0000	100.0000	6254	138	149	0.6715	67	18.82
contig_565_pilon_pilon	49.5721	67679	0.0000	100.0000	67679	623	628	0.6660	47	13.62
contig_4800_pilon_pilon	14.8075	5096	0.0000	100.0000	5096	26	29	0.6458	16	4.41
contig_8825_pilon_pilon	31.8925	6435	0.0000	100.0000	6435	75	71	0.6450	29	8.72
contig_3390_pilon_pilon	42.8788	31162	0.0000	100.0000	31162	294	275	0.6675	43	9.27
contig_8526_pilon_pilon	1.4733	993	0.0000	90.0302	894	2	1	0.6233	2	0.67
contig_2403_pilon_pilon	62.6240	154093	0.0000	100.0000	154093	1640	1598	0.6615	63	17.90
contig_1397_pilon_pilon	1.4841	1510	0.0000	93.1126	1406	0	3	0.6378	2	0.62
contig_4981_pilon_pilon	26.8621	3546	0.0000	100.0000	3546	41	32	0.6372	27	3.06
contig_9719_pilon_pilon	39.0984	12179	0.0000	100.0000	12179	111	94	0.6741	39	9.07
contig_1247_pilon_pilon	36.6686	5381	0.0000	100.0000	5381	58	49	0.6618	38	7.60
contig_61_pilon_pilon	95.7165	109755	0.0000	100.0000	109755	1998	2211	0.6520	82	42.07
contig_66_pilon_pilon	102.1113	224835	0.0000	100.0000	224835	4895	4958	0.6643	86	41.29
contig_9510_pilon_pilon	82.4361	40331	0.0000	100.0000	40331	597	548	0.6472	88	22.62
contig_2960_pilon_pilon	51.1531	4148	0.0000	100.0000	4148	62	61	0.6361	53	8.00
contig_1122_pilon_pilon	10.0698	8184	0.0000	100.0000	8184	32	25	0.6492	10	5.02
contig_2402_pilon_pilon	38.7739	34835	0.0000	100.0000	34835	326	279	0.6578	37	14.80
contig_2663_pilon_pilon	63.3258	172749	0.0000	100.0000	172749	1866	1846	0.6680	67	20.58
contig_4541_pilon_pilon	40.4853	45415	0.0000	100.0000	45415	420	417	0.6703	40	16.56
contig_3679_pilon_pilon	12.6669	6544	0.0000	99.3888	6504	25	34	0.6929	12	5.88
contig_5784_pilon_pilon	17.9379	3641	0.0000	100.0000	3641	32	26	0.6109	19	5.18
contig_1076_pilon_pilon	6.3987	17069	0.0000	97.3929	16624	41	39	0.6553	6	3.90
contig_879_pilon_pilon	49.0576	15890	0.0000	100.0000	15890	203	162	0.6600	42	23.63
contig_11236_pilon_pilon	3.6781	4802	0.0000	98.4173	4726	9	9	0.6571	4	1.49
contig_3568_pilon_pilon	77.1090	47304	0.0000	100.0000	47304	729	784	0.6567	50	72.31
contig_10257_pilon_pilon	45.5632	8919	0.0000	100.0000	8919	85	86	0.6610	45	6.74
contig_9384_pilon_pilon	23.0344	5349	0.0000	100.0000	5349	45	49	0.6148	23	6.52
contig_804_pilon_pilon	15.7902	5581	0.0000	100.0000	5581	21	30	0.6629	15	6.82
contig_4536_pilon_pilon	41.1754	113882	0.0000	100.0000	113882	943	947	0.6442	40	8.97
contig_8336_pilon_pilon	16.5861	6444	0.0000	100.0000	6444	25	34	0.6482	15	8.55
contig_572_pilon_pilon	43.8026	13135	0.0000	100.0000	13135	107	102	0.6555	45	8.18
contig_4554_pilon_pilon	33.4199	26395	0.0000	100.0000	26395	189	167	0.6789	35	9.53
contig_1238_pilon_pilon	22.9115	6710	0.0000	100.0000	6710	39	51	0.6447	24	4.63
contig_7864_pilon_pilon	40.5346	17100	0.0000	100.0000	17100	178	210	0.6407	41	11.10
contig_532_pilon_pilon	85.6187	79411	0.0000	100.0000	79411	868	1367	0.6685	42	111.28
contig_1748_pilon_pilon	18.0848	4931	0.0000	98.2965	4847	38	31	0.6228	20	8.54
contig_5681_pilon_pilon	15.9435	6622	0.0000	100.0000	6622	44	45	0.6371	16	7.29
contig_1312_pilon_pilon	7.7585	3802	0.0000	99.6581	3789	10	10	0.6349	8	4.07
contig_6795_pilon_pilon	5.4663	13893	0.0000	97.0129	13478	27	29	0.6382	5	3.58
contig_9004_pilon_pilon	1.4305	5524	0.0000	85.9522	4748	2	4	0.6976	1	1.19
contig_1316_pilon_pilon	38.2943	9218	0.0000	100.0000	9218	81	98	0.6757	38	3.74
contig_2788_pilon_pilon	7.8345	5795	0.0000	98.0155	5680	12	17	0.6770	7	5.68
contig_8606_pilon_pilon	53.7691	138292	0.0000	100.0000	138292	1282	1367	0.6540	51	16.60
contig_5219_pilon_pilon	62.0693	21889	0.0000	100.0000	21889	303	305	0.6826	58	22.88
contig_11004_pilon_pilon	9.5978	14396	0.0000	99.4721	14320	47	41	0.6719	10	6.07
contig_8374_pilon_pilon	21.5643	8798	0.0000	100.0000	8798	67	61	0.6683	21	9.43
contig_4866_pilon_pilon	40.7696	21845	0.0000	100.0000	21845	175	187	0.6540	41	5.38
contig_2223_pilon_pilon	19.7267	15020	0.0000	100.0000	15020	68	65	0.6218	21	9.98
contig_3668_pilon_pilon	23.6248	2367	0.0000	100.0000	2367	34	22	0.6388	22	6.96
contig_10918_pilon_pilon	36.7321	19765	0.0000	100.0000	19765	122	154	0.6801	36	14.36
contig_6413_pilon_pilon	34.0555	24658	0.0000	99.9878	24655	217	181	0.6615	36	9.34
contig_10087_pilon_pilon	1.2322	2601	0.0000	99.4617	2587	1	1	0.6330	1	0.44
contig_3284_pilon_pilon	14.4146	6076	0.0000	99.9835	6075	37	27	0.6586	14	7.19
contig_5922_pilon_pilon	43.9665	15154	0.0000	100.0000	15154	128	128	0.6387	45	7.62
contig_2038_pilon_pilon	15.9458	5774	0.0000	100.0000	5774	20	39	0.6788	17	6.25
contig_5233_pilon_pilon	52.6728	7244	0.0000	100.0000	7244	94	95	0.6601	53	4.79
contig_899_pilon_pilon	49.0546	10484	0.0000	100.0000	10484	128	121	0.6696	48	10.35
contig_3614_pilon_pilon	31.1398	1323	0.0000	100.0000	1323	29	33	0.6217	32	8.91
contig_6658_pilon_pilon	28.8825	13390	0.0000	100.0000	13390	83	88	0.6388	29	5.88
contig_2121_pilon_pilon	73.9305	19484	0.0000	100.0000	19484	352	296	0.6586	72	26.06
contig_4755_pilon_pilon	170.7261	8458	0.0000	100.0000	8458	363	261	0.5865	166	91.15
contig_6048_pilon_pilon	22.1309	11316	0.0000	100.0000	11316	62	54	0.6639	22	9.03
contig_272_pilon_pilon	100.0939	8362	0.0000	100.0000	8362	204	192	0.6623	98	24.61
contig_8182_pilon_pilon	59.2764	38748	0.0000	100.0000	38748	405	397	0.6728	60	17.29
contig_2331_pilon_pilon	69.0190	77160	0.0000	100.0000	77160	986	957	0.6631	47	48.56
contig_9336_pilon_pilon	34.9528	14564	0.0000	100.0000	14564	115	106	0.6495	35	6.76
contig_810_pilon_pilon	29.6293	3442	0.0000	100.0000	3442	40	48	0.6378	28	8.01
contig_8132_pilon_pilon	2.1130	2833	0.0000	88.7046	2513	6	2	0.5945	2	1.36
