#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
contig_2679_pilon_pilon_1	21.4106	40418	0.0000	100.0000	40418	165	202	0.6520	23	10.81
contig_11038_pilon_pilon_1	7.9370	7887	0.0000	100.0000	7887	12	24	0.6504	8	1.58
contig_10293_pilon_pilon_1	15.4218	14119	0.0000	100.0000	14119	38	58	0.6084	17	5.33
contig_11067_pilon_pilon_1	20.3297	27103	0.0000	100.0000	27103	114	158	0.6635	20	5.30
contig_2736_pilon_pilon_1	11.4994	3242	0.0000	100.0000	3242	16	15	0.5968	11	2.29
contig_5484_pilon_pilon_1	6.1322	3025	0.0000	100.0000	3025	7	12	0.6886	6	2.89
contig_8214_pilon_pilon_1	5.0350	4599	0.0000	100.0000	4599	8	5	0.6388	5	2.23
contig_2094_pilon_pilon_1	4.3717	9123	0.0000	84.4459	7704	17	9	0.6677	4	3.54
contig_10598_pilon_pilon_1	4.6869	4458	0.0000	99.9776	4457	10	12	0.6584	5	1.24
contig_1221_pilon_pilon_1	33.9160	38319	0.0000	100.0000	38319	299	346	0.6262	33	21.21
contig_9301_pilon_pilon_1	3.7960	4285	0.0000	100.0000	4285	5	8	0.6466	4	1.41
contig_9827_pilon_pilon_1	17.6771	11634	0.0000	100.0000	11634	88	83	0.6371	8	22.80
contig_1659_pilon_pilon_1	22.7228	46761	0.0000	100.0000	46761	200	222	0.6546	23	7.32
contig_2358_pilon_pilon_1	18.4108	10665	0.0000	100.0000	10665	53	44	0.6349	20	4.80
contig_459_pilon_pilon_1	26.1331	534359	0.0000	100.0000	534359	3754	3755	0.6417	23	15.27
contig_11566_pilon_pilon_1	15.5542	8086	0.0000	100.0000	8086	28	27	0.6403	16	2.52
contig_7345_pilon_pilon_1	9.8217	9707	0.0000	100.0000	9707	42	50	0.6385	6	11.35
contig_6627_pilon_pilon_1	18.8403	48257	0.0000	100.0000	48257	230	221	0.6549	18	8.82
contig_5365_pilon_pilon_1	20.2610	11346	0.0000	99.3302	11270	82	73	0.6482	21	10.72
contig_8245_pilon_pilon_1	4.2452	2932	0.0000	97.9877	2873	9	2	0.6629	4	1.71
contig_3361_pilon_pilon_1	23.6116	31842	0.0000	100.0000	31842	141	149	0.6441	22	7.33
contig_11244_pilon_pilon_1	32.1412	2600	0.0000	100.0000	2600	30	27	0.7021	35	6.50
contig_3701_pilon_pilon_1	33.1521	128217	0.0000	100.0000	128217	674	687	0.6539	30	16.96
contig_7115_pilon_pilon_1	5.6463	5757	0.0000	98.3846	5664	10	9	0.6626	5	3.37
