strain  min               max
HA10_S433         98,806,191 bp     99,284,689 bp     
HA11_S437         123,605,384 bp    124,015,173 bp    
HA12_S431         107,508,536 bp    108,043,970 bp    
HA13_S434         77,328,042 bp     77,856,407 bp     
HA14_S425         138,388,017 bp    138,756,680 bp    
HA15_S429         103,218,139 bp    103,998,000 bp    
HA16_S408         111,401,730 bp    111,743,439 bp    
HA1_S436         107,212,419 bp    108,126,355 bp    
HA2_S438         -1 bp             -1 bp             
HA3_S435         118,376,237 bp    118,997,619 bp    
HA4_S426         86,242,315 bp     87,195,604 bp     
HA5_S428         93,127,971 bp     93,405,915 bp     
HA6_S432         116,873,978 bp    117,503,995 bp    
HA8_S430         131,960,871 bp    132,197,476 bp    
HA9_S427         123,410,186 bp    123,758,304 bp    
