#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
contig_8921_pilon_pilon_1	7.1021	4337	0.0000	99.8386	4330	23	19	0.6475	7	2.61
contig_2646_pilon_pilon_1	20.9206	4157	0.0000	100.0000	4157	42	44	0.5999	20	6.15
contig_10983_pilon_pilon_1	10.5716	10380	0.0000	99.3545	10313	37	27	0.6322	11	4.22
contig_5162_pilon_pilon_1	19.8457	1322	0.0000	100.0000	1322	24	14	0.6351	20	2.17
contig_4012_pilon_pilon_1	54.5760	2453	0.0000	100.0000	2453	77	63	0.6686	46	24.63
contig_10659_pilon_pilon_1	57.5588	2568	0.0000	100.0000	2568	104	87	0.6150	38	42.44
contig_12208_pilon_pilon_1	8.1778	4033	0.0000	100.0000	4033	16	33	0.6436	7	5.46
contig_4549_pilon_pilon_1	38.7407	8234	0.0000	100.0000	8234	109	99	0.5988	30	23.10
contig_9134_pilon_pilon_1	9.1521	4629	0.0000	99.8704	4623	33	40	0.6040	5	7.81
contig_8502_pilon_pilon_1	36.2461	11150	0.0000	100.0000	11150	85	103	0.6518	36	9.92
contig_3085_pilon_pilon_1	12.9741	7759	0.0000	99.8067	7744	49	37	0.6901	12	7.37
contig_4255_pilon_pilon_1	24.8931	3564	0.0000	100.0000	3564	47	41	0.6131	24	4.90
contig_5064_pilon_pilon_1	106.5189	80453	0.0000	100.0000	80453	1560	1603	0.7011	71	162.30
contig_2884_pilon_pilon_1	41.7958	17397	0.0000	100.0000	17397	183	201	0.6358	41	13.97
contig_5370_pilon_pilon_1	21.6726	10492	0.0000	100.0000	10492	46	67	0.7002	23	6.38
contig_9844_pilon_pilon_1	49.8452	12531	0.0000	100.0000	12531	157	162	0.6230	45	18.75
contig_2339_pilon_pilon_1	72.5109	278698	0.0000	100.0000	278698	3700	3768	0.6564	73	28.05
contig_11458_pilon_pilon_1	16.9513	9175	0.0000	100.0000	9175	48	37	0.6301	15	6.55
contig_2923_pilon_pilon_1	11.5328	2481	0.0000	100.0000	2481	23	33	0.5927	8	9.26
contig_4034_pilon_pilon_1	7.4717	4304	0.0000	100.0000	4304	15	10	0.6469	8	2.63
contig_2227_pilon_pilon_1	24.3500	2017	0.0000	100.0000	2017	19	15	0.6609	25	3.98
contig_7556_pilon_pilon_1	26.3345	9175	0.0000	100.0000	9175	65	39	0.6467	28	6.51
contig_6133_pilon_pilon_1	80.9171	136590	0.0000	100.0000	136590	1746	1748	0.6512	81	22.20
contig_8310_pilon_pilon_1	22.3172	4600	0.0000	100.0000	4600	35	18	0.6297	21	5.09
