#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
contig_1	21.0502	4286	0.0000	98.8101	4235	12	24	0.6202	21	4.73
contig_10	4.5024	15865	0.0000	95.9534	15223	22	21	0.6518	4	2.53
contig_100	13.2610	21027	0.0000	100.0000	21027	35	49	0.6505	14	4.21
contig_10000	11.0986	7857	0.0000	100.0000	7857	27	21	0.6221	10	3.34
contig_10001	9.5763	13162	0.0000	98.6400	12983	27	19	0.6127	10	3.20
contig_10002	9.7942	9291	0.0000	99.9462	9286	16	11	0.6229	9	2.59
contig_10003	12.4200	12776	0.0000	100.0000	12776	27	33	0.6411	13	3.08
contig_10004	7.6341	14236	0.0000	100.0000	14236	18	18	0.6474	7	2.86
contig_10005	20.4155	91982	0.0000	100.0000	91982	271	245	0.6538	20	5.22
contig_10006	2.5732	4222	0.0000	92.2549	3895	4	9	0.6455	2	1.64
contig_10007	4.4689	5534	0.0000	100.0000	5534	5	20	0.6579	4	1.99
contig_10008	3.1002	1807	0.0000	100.0000	1807	6	4	0.5598	3	1.32
contig_10009	2.6162	1907	0.0000	100.0000	1907	4	1	0.5889	3	0.80
contig_1001	10.9541	25113	0.0000	100.0000	25113	52	46	0.6548	10	4.19
contig_10010	9.5378	4152	0.0000	86.7775	3603	15	29	0.6371	11	7.06
contig_10011	0.0925	2086	0.0000	9.2522	193	1	0	0.7845	0	0.29
contig_10012	8.6649	2656	0.0000	100.0000	2656	11	14	0.6443	8	2.14
contig_10013	9.0497	9116	0.0000	100.0000	9116	18	17	0.6723	9	1.49
contig_10014	2.5154	5565	0.0000	95.2561	5301	5	6	0.6621	2	1.54
contig_10015	5.8297	8138	0.0000	99.9877	8137	18	17	0.6003	6	2.42
contig_10016	2.5377	1992	0.0000	99.8996	1990	1	2	0.5917	3	0.52
contig_10017	3.3164	6849	0.0000	98.2041	6726	7	9	0.6189	3	1.66
contig_10018	14.0500	12086	0.0000	100.0000	12086	29	31	0.6139	13	4.75
contig_10019	14.7633	12215	0.0000	100.0000	12215	37	39	0.6759	13	6.37
contig_1002	0.0000	811	0.0000	0.0000	0	0	0	0.0000	0	0.00
contig_10020	5.4212	10150	0.0000	99.9409	10144	18	12	0.6595	5	1.82
contig_10021	4.6999	1223	0.0000	100.0000	1223	3	7	0.6218	4	2.08
contig_10022	2.7315	2670	0.0000	99.8502	2666	5	4	0.6375	3	1.23
contig_10023	11.4733	13203	0.0000	100.0000	13203	16	26	0.6379	11	3.93
contig_10024	1.6320	3609	0.0000	98.2821	3547	4	3	0.6537	1	0.87
