#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
contig_1453_pilon_pilon_1	107.1752	124001	0.0000	100.0000	124001	1975	1942	0.6518	55	151.99
contig_10275_pilon_pilon_1	6.5202	12976	0.0000	99.2833	12883	30	30	0.6212	6	3.03
contig_4746_pilon_pilon_1	4.4067	9273	0.0000	94.9207	8802	20	13	0.6023	5	2.27
contig_10356_pilon_pilon_1	7.2293	4587	0.0000	100.0000	4587	14	23	0.5938	7	2.24
contig_7586_pilon_pilon_1	20.4081	13044	0.0000	100.0000	13044	82	71	0.6253	15	14.26
contig_115_pilon_pilon_1	40.8662	1124970	0.0000	100.0000	1124970	7543	8984	0.6856	19	155.66
contig_6224_pilon_pilon_1	6.0443	6857	0.0000	100.0000	6857	23	13	0.6673	6	1.91
contig_7696_pilon_pilon_1	6.8768	13546	0.0000	100.0000	13546	27	30	0.6758	6	4.43
contig_7860_pilon_pilon_1	36.2546	49975	0.0000	100.0000	49975	294	290	0.6314	35	14.21
contig_8071_pilon_pilon_1	4.8467	3438	0.0000	100.0000	3438	7	16	0.6287	5	1.75
contig_287_pilon_pilon_1	44.3896	60151	0.0000	100.0000	60151	540	564	0.6706	36	31.10
contig_6476_pilon_pilon_1	9.6040	12897	0.0000	100.0000	12897	27	43	0.6515	9	4.01
contig_8999_pilon_pilon_1	3.2574	3120	0.0000	96.4103	3008	4	7	0.6253	3	1.75
contig_1322_pilon_pilon_1	36.8225	153839	0.0000	100.0000	153839	1037	1038	0.6590	35	18.71
contig_9000_pilon_pilon_1	20.6111	6541	0.0000	100.0000	6541	41	44	0.6552	18	9.42
contig_9307_pilon_pilon_1	20.0046	5657	0.0000	86.8658	4914	51	44	0.6361	10	22.44
contig_10661_pilon_pilon_1	7.2568	7792	0.0000	100.0000	7792	22	31	0.6476	5	4.41
contig_7531_pilon_pilon_1	30.9166	16429	0.0000	100.0000	16429	162	142	0.6584	26	16.28
contig_9259_pilon_pilon_1	8.5707	2933	0.0000	100.0000	2933	24	13	0.6246	7	4.43
contig_9472_pilon_pilon_1	18.5604	6411	0.0000	100.0000	6411	35	36	0.6561	18	4.72
contig_8522_pilon_pilon_1	18.7169	8276	0.0000	99.4804	8233	62	79	0.6542	6	28.98
contig_4880_pilon_pilon_1	27.2772	221502	0.0000	100.0000	221502	1058	1054	0.6589	28	15.13
contig_6480_pilon_pilon_1	5.4396	8342	0.0000	97.6145	8143	8	12	0.6669	5	3.28
contig_10274_pilon_pilon_1	19.9659	14209	0.0000	100.0000	14209	56	65	0.6774	19	7.20
contig_9245_pilon_pilon_1	5.3043	3385	0.0000	100.0000	3385	8	10	0.6359	5	1.20
contig_5056_pilon_pilon_1	35.7049	87290	0.0000	100.0000	87290	465	444	0.6701	37	8.81
contig_3872_pilon_pilon_1	3.8363	6226	0.0000	89.9293	5599	11	31	0.5969	3	3.48
contig_252_pilon_pilon_1	28.3646	21835	0.0000	100.0000	21835	97	74	0.6583	27	6.56
contig_9484_pilon_pilon_1	16.6663	12804	0.0000	100.0000	12804	40	35	0.6775	17	2.70
contig_5189_pilon_pilon_1	6.2650	10701	0.0000	99.9533	10696	31	24	0.6406	6	2.78
contig_2447_pilon_pilon_1	45.8401	131129	0.0000	100.0000	131129	1058	1092	0.6490	39	24.17
contig_3954_pilon_pilon_1	26.3546	26627	0.0000	100.0000	26627	101	103	0.6583	25	9.45
contig_47_pilon_pilon_1	35.9346	311954	0.0000	100.0000	311954	2257	2337	0.6587	31	26.98
contig_4893_pilon_pilon_1	14.3391	6328	0.0000	100.0000	6328	20	29	0.6650	14	2.16
contig_6121_pilon_pilon_1	8.8274	4178	0.0000	100.0000	4178	21	25	0.6662	3	11.68
contig_9487_pilon_pilon_1	11.3476	8088	0.0000	100.0000	8088	21	14	0.6852	11	1.53
contig_3532_pilon_pilon_1	12.7937	4586	0.0000	100.0000	4586	23	33	0.6034	10	8.77
contig_10471_pilon_pilon_1	12.2758	8180	0.0000	100.0000	8180	21	18	0.6383	12	2.36
contig_5454_pilon_pilon_1	7.7672	6649	0.0000	99.7894	6635	12	17	0.6492	8	2.67
contig_4246_pilon_pilon_1	37.0358	42703	0.0000	100.0000	42703	221	271	0.6773	40	13.03
contig_8654_pilon_pilon_1	18.7598	8539	0.0000	100.0000	8539	64	43	0.6239	17	5.87
contig_7075_pilon_pilon_1	16.5152	17967	0.0000	100.0000	17967	75	61	0.6653	15	6.21
contig_4356_pilon_pilon_1	10.9835	9321	0.0000	100.0000	9321	43	43	0.6269	9	6.88
contig_2790_pilon_pilon_1	3.6242	9788	0.0000	99.2440	9714	9	14	0.6472	3	2.05
contig_464_pilon_pilon_1	17.3729	17493	0.0000	100.0000	17493	96	103	0.6282	14	9.16
contig_8185_pilon_pilon_1	6.6354	6926	0.0000	99.9856	6925	10	11	0.6481	7	2.34
