#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
contig_4_pilon_pilon_1	16.3505	9659	0.0000	100.0000	9659	84	63	0.6631	8	20.81
contig_5473_pilon_pilon_1	36.2110	52606	0.0000	100.0000	52606	284	283	0.6649	35	8.46
contig_5847_pilon_pilon_1	44.9210	79621	0.0000	100.0000	79621	393	379	0.6481	45	8.33
contig_4681_pilon_pilon_1	12.5039	11910	0.0000	100.0000	11910	54	65	0.6338	7	8.52
contig_5598_pilon_pilon_1	3.5029	3931	0.0000	100.0000	3931	0	11	0.6582	4	1.45
contig_2703_pilon_pilon_1	5.6228	10373	0.0000	100.0000	10373	25	34	0.6641	5	2.66
contig_7002_pilon_pilon_1	53.3654	72560	0.0000	100.0000	72560	592	644	0.7278	48	19.33
contig_5990_pilon_pilon_1	15.5253	8455	0.0000	100.0000	8455	62	42	0.6740	10	14.51
contig_5603_pilon_pilon_1	17.7901	10535	0.0000	94.7603	9983	104	100	0.6176	6	29.19
contig_3207_pilon_pilon_1	12.8489	11265	0.0000	100.0000	11265	34	34	0.6284	12	4.47
contig_4240_pilon_pilon_1	17.8416	7815	0.0000	100.0000	7815	40	26	0.7027	6	14.62
contig_1891_pilon_pilon_1	37.0258	237633	0.0000	100.0000	237633	1532	1376	0.6493	37	11.78
contig_4362_pilon_pilon_1	21.2809	20882	0.0000	100.0000	20882	87	81	0.6725	24	8.67
contig_4507_pilon_pilon_1	4.7762	8125	0.0000	82.0062	6663	10	16	0.6879	4	3.49
contig_1954_pilon_pilon_1	16.8005	15226	0.0000	100.0000	15226	86	86	0.6391	14	10.28
contig_3056_pilon_pilon_1	40.7308	325185	0.0000	100.0000	325185	1693	1730	0.6559	35	39.58
contig_3248_pilon_pilon_1	6.0720	5807	0.0000	94.1278	5466	9	13	0.6815	6	2.69
contig_5923_pilon_pilon_1	17.4541	15128	0.0000	100.0000	15128	70	72	0.6675	17	3.53
contig_2243_pilon_pilon_1	12.5448	15945	0.0000	100.0000	15945	46	67	0.6496	11	4.91
contig_5207_pilon_pilon_1	73.7990	71494	0.0000	100.0000	71494	939	1033	0.6413	72	22.56
contig_4825_pilon_pilon_1	14.8917	10178	0.0000	100.0000	10178	25	28	0.6321	15	2.88
contig_1166_pilon_pilon_1	45.6534	193101	0.0000	100.0000	193101	1277	1104	0.6588	37	31.42
contig_1995_pilon_pilon_1	21.6439	6913	0.0000	100.0000	6913	61	73	0.6927	9	25.28
contig_2493_pilon_pilon_1	51.0558	65263	0.0000	97.9268	63910	456	481	0.6501	44	30.47
contig_3572_pilon_pilon_1	6.8283	15373	0.0000	100.0000	15373	33	33	0.6304	7	1.72
contig_6192_pilon_pilon_1	10.4798	12867	0.0000	99.8368	12846	58	42	0.6371	10	6.54
contig_5342_pilon_pilon_1	9.5255	6461	0.0000	100.0000	6461	28	52	0.6336	8	5.77
contig_575_pilon_pilon_1	42.0891	110382	0.0000	100.0000	110382	747	770	0.6426	39	19.89
contig_6225_pilon_pilon_1	4.0799	8600	0.0000	99.6860	8573	20	14	0.5719	4	1.45
contig_7074_pilon_pilon_1	33.8474	16768	0.0000	100.0000	16768	113	141	0.6275	33	8.78
contig_4321_pilon_pilon_1	4.1139	2765	0.0000	100.0000	2765	3	7	0.6571	4	0.82
contig_2531_pilon_pilon_1	7.3746	9545	0.0000	99.7381	9520	26	25	0.6503	7	3.63
contig_5486_pilon_pilon_1	4.5053	4453	0.0000	99.9102	4449	24	25	0.6171	3	3.25
contig_940_pilon_pilon_1	41.7759	11891	0.0000	100.0000	11891	107	100	0.7017	48	20.05
contig_5353_pilon_pilon_1	29.4383	93400	0.0000	100.0000	93400	450	446	0.6731	26	15.32
contig_18_pilon_pilon_1	31.2960	91179	0.0000	100.0000	91179	401	444	0.6384	29	13.30
contig_7028_pilon_pilon_1	43.6815	283178	0.0000	100.0000	283178	1565	1494	0.6620	42	11.86
contig_5380_pilon_pilon_1	15.3683	16961	0.0000	100.0000	16961	53	49	0.6683	15	3.99
contig_2824_pilon_pilon_1	4.2750	3436	0.0000	90.8324	3121	12	11	0.6510	2	5.22
contig_1941_pilon_pilon_1	3.1943	4689	0.0000	92.5357	4339	11	11	0.7031	4	1.73
contig_5660_pilon_pilon_1	4.7790	20367	0.0000	100.0000	20367	26	23	0.6679	4	2.54
contig_6612_pilon_pilon_1	15.2444	5265	0.0000	66.2868	3490	45	58	0.6637	1	27.36
contig_7118_pilon_pilon_1	23.6426	25949	0.0000	100.0000	25949	61	98	0.6800	24	11.05
contig_229_pilon_pilon_1	48.3933	355936	0.0000	100.0000	355936	2466	2687	0.6615	38	43.15
contig_6443_pilon_pilon_1	39.3759	63935	0.0000	100.0000	63935	280	363	0.6646	37	15.00
contig_1945_pilon_pilon_1	12.6470	6989	0.0000	100.0000	6989	18	16	0.6321	12	2.57
contig_2450_pilon_pilon_1	17.0942	6953	0.0000	96.5914	6716	73	60	0.6648	7	25.22
contig_3185_pilon_pilon_1	34.0757	103802	0.0000	100.0000	103802	431	457	0.6588	33	8.94
contig_4491_pilon_pilon_1	16.8956	10834	0.0000	100.0000	10834	46	65	0.6672	16	5.30
contig_3194_pilon_pilon_1	8.6229	16445	0.0000	100.0000	16445	19	11	0.6722	9	2.75
contig_5995_pilon_pilon_1	4.5341	7208	0.0000	89.3590	6441	12	11	0.6887	4	2.51
contig_4114_pilon_pilon_1	36.0534	218201	0.0000	100.0000	218201	1188	1055	0.6525	31	30.53
contig_3779_pilon_pilon_1	8.0056	14873	0.0000	100.0000	14873	21	35	0.6394	8	2.97
contig_315_pilon_pilon_1	30.1657	140980	0.0000	100.0000	140980	685	716	0.6669	27	16.49
contig_5100_pilon_pilon_1	4.9041	9001	0.0000	99.7667	8980	19	11	0.6458	4	3.78
contig_4485_pilon_pilon_1	37.9739	4516	0.0000	100.0000	4516	109	69	0.5966	43	21.83
contig_6339_pilon_pilon_1	2.0659	5968	0.0000	92.7279	5534	5	5	0.6871	2	0.87
contig_6848_pilon_pilon_1	45.4551	80118	0.0000	100.0000	80118	641	638	0.6517	39	20.26
contig_2829_pilon_pilon_1	44.6643	3312	0.0000	100.0000	3312	51	48	0.7135	43	10.09
contig_1648_pilon_pilon_1	42.1846	414252	0.0000	100.0000	414252	2447	2505	0.6561	42	15.17
contig_5970_pilon_pilon_1	21.9761	3051	0.0000	95.2802	2907	40	58	0.6211	9	23.01
contig_6860_pilon_pilon_1	55.5889	18269	0.0000	100.0000	18269	165	179	0.6612	50	20.51
contig_5418_pilon_pilon_1	22.2788	25395	0.0000	100.0000	25395	140	129	0.6437	21	7.85
contig_1624_pilon_pilon_1	34.8853	28080	0.0000	100.0000	28080	200	177	0.6674	35	10.83
contig_6056_pilon_pilon_1	3.4503	9436	0.0000	96.5451	9110	21	18	0.6306	3	3.79
contig_7104_pilon_pilon_1	15.4825	21920	0.0000	100.0000	21920	83	76	0.6507	16	7.75
contig_1118_pilon_pilon_1	20.8167	8838	0.0000	88.3005	7804	109	97	0.6339	4	33.08
contig_2940_pilon_pilon_1	8.4999	4055	0.0000	99.5068	4035	13	21	0.6361	8	3.80
contig_6932_pilon_pilon_1	29.3068	16529	0.0000	100.0000	16529	89	92	0.6683	27	11.79
contig_432_pilon_pilon_1	61.2898	186084	0.0000	100.0000	186084	1412	1356	0.6468	60	25.19
contig_4935_pilon_pilon_1	9.1825	3726	0.0000	100.0000	3726	17	10	0.6142	9	2.19
contig_936_pilon_pilon_1	16.4351	31318	0.0000	100.0000	31318	88	83	0.6390	16	2.90
contig_2314_pilon_pilon_1	36.5004	64331	0.0000	100.0000	64331	329	293	0.6787	34	10.21
contig_6791_pilon_pilon_1	7.7920	10325	0.0000	94.9637	9805	47	49	0.6203	5	9.43
contig_6980_pilon_pilon_1	6.4208	10370	0.0000	100.0000	10370	20	23	0.5925	6	2.71
contig_5559_pilon_pilon_1	26.4661	16688	0.0000	100.0000	16688	151	135	0.6554	10	31.70
contig_903_pilon_pilon_1	53.1350	307786	0.0000	100.0000	307786	2497	2473	0.6589	45	34.24
contig_1397_pilon_pilon_1	45.7427	178654	0.0000	100.0000	178654	1002	1020	0.6628	42	24.94
contig_5748_pilon_pilon_1	45.1851	64188	0.0000	100.0000	64188	313	334	0.6518	46	7.82
contig_4004_pilon_pilon_1	8.9294	3684	0.0000	99.4843	3665	19	14	0.6597	8	4.18
contig_6581_pilon_pilon_1	10.0268	7979	0.0000	100.0000	7979	25	19	0.6665	9	3.77
contig_744_pilon_pilon_1	47.8379	272352	0.0000	100.0000	272352	1832	1997	0.6576	44	20.13
contig_3662_pilon_pilon_1	17.1454	13026	0.0000	100.0000	13026	67	47	0.6671	18	3.88
contig_5827_pilon_pilon_1	10.0070	19895	0.0000	100.0000	19895	45	34	0.6720	11	4.46
contig_6754_pilon_pilon_1	15.8890	15453	0.0000	100.0000	15453	86	95	0.6380	14	9.36
contig_435_pilon_pilon_1	10.7327	7913	0.0000	100.0000	7913	42	49	0.6093	7	11.30
contig_1062_pilon_pilon_1	36.4218	19583	0.0000	100.0000	19583	152	123	0.6690	34	13.66
contig_6170_pilon_pilon_1	19.7719	17283	0.0000	100.0000	17283	51	60	0.6676	21	6.13
contig_2052_pilon_pilon_1	20.9218	15700	0.0000	100.0000	15700	123	126	0.6446	16	12.21
contig_3469_pilon_pilon_1	9.4205	13866	0.0000	100.0000	13866	53	46	0.6737	8	3.92
contig_4777_pilon_pilon_1	14.3561	8609	0.0000	100.0000	8609	26	33	0.6779	14	2.60
contig_5553_pilon_pilon_1	40.8586	42954	0.0000	100.0000	42954	359	331	0.6709	37	17.84
contig_4292_pilon_pilon_1	19.3544	5471	0.0000	100.0000	5471	30	51	0.6254	8	16.69
contig_4288_pilon_pilon_1	3.1177	3134	0.0000	97.9579	3070	3	9	0.6081	3	0.72
contig_3510_pilon_pilon_1	32.5724	20456	0.0000	100.0000	20456	186	172	0.6501	25	24.89
contig_6785_pilon_pilon_1	11.0115	32419	0.0000	100.0000	32419	99	94	0.6636	11	3.76
contig_821_pilon_pilon_1	12.2456	13143	0.0000	99.9924	13142	48	72	0.6390	7	11.85
contig_3815_pilon_pilon_1	47.9656	490467	0.0000	100.0000	490467	3512	3615	0.6605	41	40.16
contig_5616_pilon_pilon_1	14.7034	16648	0.0000	100.0000	16648	94	58	0.6604	12	9.90
contig_3461_pilon_pilon_1	52.8974	7713	0.0000	100.0000	7713	149	121	0.6384	45	37.39
contig_6498_pilon_pilon_1	10.1621	18219	0.0000	100.0000	18219	66	58	0.6233	9	4.80
contig_768_pilon_pilon_1	4.5278	13931	0.0000	96.1812	13399	27	19	0.6457	3	3.61
contig_4108_pilon_pilon_1	6.3964	5961	0.0000	100.0000	5961	19	22	0.6316	4	8.65
contig_2578_pilon_pilon_1	8.4421	12912	0.0000	100.0000	12912	38	41	0.6595	8	3.37
contig_7112_pilon_pilon_1	19.1987	13957	0.0000	100.0000	13957	85	65	0.6280	18	11.19
contig_3002_pilon_pilon_1	32.4868	4474	0.0000	100.0000	4474	62	57	0.6626	3	35.90
contig_2028_pilon_pilon_1	6.6145	14568	0.0000	100.0000	14568	31	58	0.6430	6	4.44
contig_3191_pilon_pilon_1	10.1023	5309	0.0000	100.0000	5309	17	14	0.6689	10	3.33
contig_1576_pilon_pilon_1	39.2044	444788	0.0000	100.0000	444788	2994	2897	0.6520	36	19.25
contig_3135_pilon_pilon_1	5.4422	5319	0.0000	96.7851	5148	27	17	0.6339	4	4.64
contig_1830_pilon_pilon_1	50.6019	82860	0.0000	100.0000	82860	730	727	0.6546	38	39.95
contig_6661_pilon_pilon_1	29.6057	26910	0.0000	100.0000	26910	165	126	0.6385	30	13.98
contig_5949_pilon_pilon_1	1.3875	7322	0.0000	72.8626	5335	4	2	0.6978	2	0.89
contig_4479_pilon_pilon_1	58.8291	73746	0.0000	100.0000	73746	535	561	0.6913	60	20.71
contig_3681_pilon_pilon_1	34.4410	152196	0.0000	100.0000	152196	942	924	0.6631	31	16.87
contig_1059_pilon_pilon_1	36.0761	14684	0.0000	100.0000	14684	116	100	0.6571	31	12.18
contig_6128_pilon_pilon_1	14.9842	14267	0.0000	100.0000	14267	50	44	0.6463	15	7.07
contig_245_pilon_pilon_1	41.8826	118654	0.0000	100.0000	118654	815	778	0.6603	35	20.85
contig_2114_pilon_pilon_1	6.4389	9489	0.0000	99.0199	9396	21	19	0.6801	4	4.11
contig_3759_pilon_pilon_1	25.0684	11156	0.0000	100.0000	11156	87	67	0.6417	18	18.27
contig_3450_pilon_pilon_1	7.5726	7054	0.0000	100.0000	7054	18	15	0.6729	8	3.14
contig_6635_pilon_pilon_1	24.6731	21394	0.0000	100.0000	21394	123	136	0.6510	21	9.72
contig_3767_pilon_pilon_1	26.6779	48244	0.0000	100.0000	48244	176	189	0.6533	28	9.00
contig_4274_pilon_pilon_1	11.8550	21474	0.0000	98.7427	21204	83	121	0.6415	8	11.06
contig_5749_pilon_pilon_1	8.5675	13971	0.0000	99.5133	13903	77	81	0.6554	4	11.43
contig_1376_pilon_pilon_1	27.7835	46838	0.0000	100.0000	46838	187	171	0.6419	29	8.02
contig_734_pilon_pilon_1	33.3589	150113	0.0000	100.0000	150113	802	859	0.6528	33	10.26
contig_1832_pilon_pilon_1	18.6058	12041	0.0000	96.3956	11607	75	47	0.6375	26	12.50
contig_6679_pilon_pilon_1	15.4862	15992	0.0000	100.0000	15992	119	152	0.6279	9	15.10
contig_5683_pilon_pilon_1	7.7296	18592	0.0000	99.9731	18587	24	32	0.6531	7	3.15
contig_6453_pilon_pilon_1	4.3709	4540	0.0000	80.1542	3639	8	10	0.6920	1	4.74
contig_265_pilon_pilon_1	40.7012	888551	0.0000	100.0000	888551	6446	6664	0.6558	36	25.50
contig_3226_pilon_pilon_1	8.6752	12909	0.0000	100.0000	12909	26	38	0.7004	9	4.37
contig_183_pilon_pilon_1	52.5167	37977	0.0000	100.0000	37977	336	319	0.6663	44	46.64
contig_6152_pilon_pilon_1	15.8204	8732	0.0000	100.0000	8732	29	28	0.6515	15	4.33
contig_727_pilon_pilon_1	36.0128	445709	0.0000	100.0000	445709	2376	2260	0.6552	35	14.93
contig_2360_pilon_pilon_1	29.7692	6110	0.0000	99.7872	6097	99	74	0.6017	11	32.52
contig_7026_pilon_pilon_1	35.0810	7729	0.0000	100.0000	7729	47	42	0.6485	35	3.51
contig_571_pilon_pilon_1	56.3081	241999	0.0000	100.0000	241999	1834	1732	0.6611	49	27.67
contig_7083_pilon_pilon_1	56.6335	50455	0.0000	100.0000	50455	354	377	0.6704	50	22.50
contig_6041_pilon_pilon_1	23.0702	21061	0.0000	100.0000	21061	72	90	0.6640	25	8.19
contig_4006_pilon_pilon_1	5.1473	10125	0.0000	98.5580	9979	17	22	0.6569	5	2.83
contig_4160_pilon_pilon_1	23.3257	8579	0.0000	100.0000	8579	58	72	0.6531	14	19.98
contig_2582_pilon_pilon_1	18.5414	46965	0.0000	100.0000	46965	190	169	0.6516	17	7.21
contig_641_pilon_pilon_1	33.3293	160963	0.0000	100.0000	160963	818	910	0.6564	31	11.92
contig_5092_pilon_pilon_1	28.8613	19116	0.0000	100.0000	19116	95	86	0.6395	30	5.93
contig_4390_pilon_pilon_1	6.6346	3651	0.0000	100.0000	3651	11	18	0.5939	6	3.17
contig_5416_pilon_pilon_1	14.7645	9189	0.0000	100.0000	9189	58	52	0.6429	11	10.58
contig_6930_pilon_pilon_1	34.9819	23895	0.0000	100.0000	23895	144	147	0.6164	28	20.65
contig_4250_pilon_pilon_1	12.8569	14266	0.0000	100.0000	14266	79	85	0.6685	8	13.12
contig_5203_pilon_pilon_1	3.4488	5058	0.0000	95.8482	4848	7	5	0.6672	3	1.58
contig_5029_pilon_pilon_1	4.0311	8733	0.0000	86.6827	7570	22	12	0.6871	4	2.56
contig_4564_pilon_pilon_1	27.3855	10188	0.0000	100.0000	10188	70	59	0.6564	25	11.06
contig_895_pilon_pilon_1	30.5162	60851	0.0000	100.0000	60851	232	284	0.6686	31	10.16
contig_626_pilon_pilon_1	64.4098	66709	0.0000	100.0000	66709	454	541	0.7639	20	89.78
contig_5275_pilon_pilon_1	14.3766	13480	0.0000	100.0000	13480	76	68	0.6362	11	8.08
contig_4367_pilon_pilon_1	8.8884	14172	0.0000	100.0000	14172	25	29	0.6538	10	4.00
contig_1647_pilon_pilon_1	16.2269	13575	0.0000	100.0000	13575	64	84	0.6371	13	10.10
contig_271_pilon_pilon_1	97.6534	16846	0.0000	100.0000	16846	222	234	0.6741	7	106.83
contig_2669_pilon_pilon_1	10.5018	2852	0.0000	100.0000	2852	11	11	0.6805	12	2.56
contig_3595_pilon_pilon_1	6.2033	6887	0.0000	96.7765	6665	21	24	0.6494	6	4.38
contig_3615_pilon_pilon_1	4.6917	4152	0.0000	92.0761	3823	5	5	0.6766	4	2.95
contig_5806_pilon_pilon_1	7.7051	7288	0.0000	89.0642	6491	24	27	0.6520	6	6.39
contig_2568_pilon_pilon_1	14.3440	7406	0.0000	99.9595	7403	48	44	0.7038	5	17.27
contig_280_pilon_pilon_1	27.4413	15485	0.0000	100.0000	15485	85	73	0.6545	27	5.95
contig_614_pilon_pilon_1	32.4494	35153	0.0000	100.0000	35153	248	296	0.6577	28	20.42
contig_2854_pilon_pilon_1	31.1151	14337	0.0000	100.0000	14337	115	143	0.6450	24	22.38
contig_4648_pilon_pilon_1	24.8022	20296	0.0000	100.0000	20296	89	95	0.6537	24	6.87
contig_4287_pilon_pilon_1	15.4379	3944	0.0000	100.0000	3944	40	11	0.6150	16	5.60
contig_1894_pilon_pilon_1	46.7877	46847	0.0000	100.0000	46847	376	378	0.6571	26	35.44
contig_6734_pilon_pilon_1	8.2166	11346	0.0000	99.8061	11324	47	45	0.6302	7	3.87
contig_6034_pilon_pilon_1	10.4981	19104	0.0000	100.0000	19104	53	38	0.6351	9	3.67
contig_2309_pilon_pilon_1	4.8192	5525	0.0000	99.5113	5498	16	9	0.5735	5	2.04
contig_5026_pilon_pilon_1	4.3463	8924	0.0000	86.2057	7693	11	14	0.6568	6	2.92
contig_778_pilon_pilon_1	5.5923	2742	0.0000	100.0000	2742	5	9	0.6177	5	1.79
contig_319_pilon_pilon_1	59.0762	132496	0.0000	100.0000	132496	818	902	0.6697	54	18.01
contig_3921_pilon_pilon_1	16.3558	20283	0.0000	99.9310	20269	125	127	0.6458	12	11.84
contig_4729_pilon_pilon_1	13.9514	5765	0.0000	100.0000	5765	31	28	0.6426	13	2.94
contig_1348_pilon_pilon_1	34.1608	170202	0.0000	100.0000	170202	980	1066	0.6488	33	21.14
contig_2541_pilon_pilon_1	6.6721	11815	0.0000	99.4583	11751	24	26	0.6558	6	2.07
contig_2840_pilon_pilon_1	3.4529	6227	0.0000	96.2743	5995	6	5	0.6751	3	1.58
contig_984_pilon_pilon_1	36.4868	178821	0.0000	100.0000	178821	823	874	0.6622	38	12.72
contig_5166_pilon_pilon_1	31.4846	20690	0.0000	100.0000	20690	172	189	0.6511	27	14.96
contig_6337_pilon_pilon_1	4.2955	5605	0.0000	100.0000	5605	12	13	0.6611	5	1.05
contig_4621_pilon_pilon_1	62.0811	14485	0.0000	100.0000	14485	185	190	0.6693	65	26.77
contig_3125_pilon_pilon_1	30.2136	5823	0.0000	100.0000	5823	31	33	0.6614	31	2.80
contig_850_pilon_pilon_1	13.7620	8883	0.0000	100.0000	8883	43	38	0.6667	8	14.67
contig_3908_pilon_pilon_1	23.2226	19138	0.0000	100.0000	19138	86	77	0.6493	23	7.33
contig_5650_pilon_pilon_1	12.7745	10085	0.0000	100.0000	10085	29	27	0.6876	14	5.79
contig_3072_pilon_pilon_1	15.5465	8143	0.0000	98.9439	8057	73	120	0.6705	2	31.90
contig_3716_pilon_pilon_1	32.4340	17531	0.0000	100.0000	17531	127	129	0.6328	25	27.07
contig_5963_pilon_pilon_1	12.7629	10596	0.0000	100.0000	10596	55	58	0.6631	6	10.61
contig_1199_pilon_pilon_1	13.5426	16721	0.0000	99.9940	16720	80	101	0.6486	12	10.88
contig_1094_pilon_pilon_1	33.3929	106885	0.0000	100.0000	106885	575	621	0.6626	33	14.77
contig_862_pilon_pilon_1	10.4564	12375	0.0000	100.0000	12375	53	34	0.6275	7	9.36
contig_1689_pilon_pilon_1	30.0797	11348	0.0000	100.0000	11348	106	105	0.6381	13	40.51
contig_4036_pilon_pilon_1	5.9063	15354	0.0000	99.3748	15258	29	28	0.6296	6	3.12
contig_6168_pilon_pilon_1	23.1404	11008	0.0000	100.0000	11008	66	90	0.6529	15	19.29
contig_1916_pilon_pilon_1	7.6605	11545	0.0000	100.0000	11545	20	34	0.6529	8	4.36
contig_2207_pilon_pilon_1	9.3824	12295	0.0000	99.7479	12264	20	30	0.6310	10	4.20
contig_3982_pilon_pilon_1	3.0453	2937	0.0000	100.0000	2937	5	0	0.7023	3	1.08
contig_1486_pilon_pilon_1	21.8224	5891	0.0000	100.0000	5891	25	34	0.6619	19	8.03
contig_3230_pilon_pilon_1	1.1856	2085	0.0000	50.8393	1060	2	2	0.6391	1	1.32
contig_2523_pilon_pilon_1	26.7888	24285	0.0000	100.0000	24285	130	119	0.6658	23	9.55
contig_3645_pilon_pilon_1	5.0873	8868	0.0000	99.4475	8819	30	24	0.6212	4	3.50
contig_6473_pilon_pilon_1	6.2057	12559	0.0000	100.0000	12559	23	28	0.6646	7	2.36
contig_2188_pilon_pilon_1	11.3349	5919	0.0000	100.0000	5919	35	31	0.6142	10	4.97
contig_2197_pilon_pilon_1	24.9310	6816	0.0000	100.0000	6816	67	57	0.6394	12	17.63
contig_2569_pilon_pilon_1	1.9360	3513	0.0000	95.6732	3361	1	2	0.6561	2	0.44
contig_5820_pilon_pilon_1	10.2929	5520	0.0000	100.0000	5520	16	29	0.6341	10	3.89
contig_4064_pilon_pilon_1	28.1306	24265	0.0000	100.0000	24265	121	95	0.7050	26	7.66
contig_5058_pilon_pilon_1	28.4560	69486	0.0000	100.0000	69486	402	358	0.6536	28	10.38
contig_662_pilon_pilon_1	36.1554	68826	0.0000	100.0000	68826	328	367	0.6639	34	15.16
contig_5905_pilon_pilon_1	11.8143	16093	0.0000	100.0000	16093	62	31	0.6606	11	4.99
contig_187_pilon_pilon_1	39.4663	30038	0.0000	99.7769	29971	179	172	0.6599	42	12.81
contig_251_pilon_pilon_1	41.6147	109535	0.0000	100.0000	109535	756	671	0.6486	34	29.19
contig_4727_pilon_pilon_1	31.9638	16003	0.0000	100.0000	16003	134	116	0.6550	31	11.31
contig_1932_pilon_pilon_1	9.0354	4441	0.0000	100.0000	4441	16	14	0.6894	9	2.48
contig_371_pilon_pilon_1	38.2002	62584	0.0000	100.0000	62584	370	340	0.6710	33	20.75
contig_4810_pilon_pilon_1	8.8593	9669	0.0000	98.1280	9488	29	17	0.6627	10	3.91
contig_4883_pilon_pilon_1	13.0638	9869	0.0000	99.9493	9864	38	33	0.6032	12	6.04
contig_1121_pilon_pilon_1	19.2595	30471	0.0000	100.0000	30471	157	148	0.6538	17	10.41
contig_2501_pilon_pilon_1	3.8971	5364	0.0000	95.8799	5143	14	14	0.6322	2	3.31
contig_4392_pilon_pilon_1	13.1997	12149	0.0000	100.0000	12149	21	27	0.6868	13	2.42
contig_3636_pilon_pilon_1	3.3114	11638	0.0000	89.9725	10471	10	20	0.6944	3	2.00
contig_4717_pilon_pilon_1	53.2338	3627	0.0000	99.6967	3616	99	98	0.6437	21	50.27
contig_3176_pilon_pilon_1	54.2126	6646	0.0000	100.0000	6646	59	99	0.7074	23	39.96
contig_5978_pilon_pilon_1	20.2240	23998	0.0000	100.0000	23998	90	97	0.6480	20	6.22
contig_876_pilon_pilon_1	8.9463	22908	0.0000	100.0000	22908	55	57	0.6748	7	9.45
contig_3042_pilon_pilon_1	5.3562	3885	0.0000	100.0000	3885	3	15	0.6719	5	1.57
contig_1276_pilon_pilon_1	37.7526	79748	0.0000	100.0000	79748	332	297	0.6612	37	8.87
contig_5241_pilon_pilon_1	22.6650	17449	0.0000	100.0000	17449	151	121	0.6543	17	14.87
contig_3848_pilon_pilon_1	20.4062	24960	0.0000	100.0000	24960	112	95	0.6562	19	8.02
contig_6831_pilon_pilon_1	52.4649	187439	0.0000	100.0000	187439	1493	1506	0.6584	44	38.40
contig_6272_pilon_pilon_1	17.3973	13478	0.0000	100.0000	13478	92	80	0.6479	10	16.91
contig_4534_pilon_pilon_1	9.2369	8838	0.0000	99.7171	8813	48	39	0.6240	6	7.52
contig_4285_pilon_pilon_1	15.0153	4781	0.0000	98.3895	4704	51	37	0.6036	7	16.48
contig_1111_pilon_pilon_1	6.3721	2612	0.0000	100.0000	2612	16	7	0.6399	6	1.88
contig_4995_pilon_pilon_1	20.1816	9995	0.0000	100.0000	9995	42	47	0.6259	19	6.97
contig_698_pilon_pilon_1	38.6300	312591	0.0000	100.0000	312591	1986	1819	0.6577	28	34.78
contig_7115_pilon_pilon_1	8.8980	11214	0.0000	99.7592	11187	36	48	0.6589	7	7.65
contig_845_pilon_pilon_1	30.2173	120200	0.0000	100.0000	120200	551	543	0.6579	30	10.00
contig_1740_pilon_pilon_1	3.1014	6678	0.0000	99.9401	6674	4	12	0.6497	2	1.87
contig_4022_pilon_pilon_1	2.3907	1551	0.0000	97.0342	1505	0	4	0.6989	2	0.93
contig_4138_pilon_pilon_1	15.5551	25439	0.0000	100.0000	25439	63	83	0.6499	15	4.17
