#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
contig_1	17.8943	161547	0.0000	100.0000	161547	559	555	0.6443	15	12.70
contig_10	9.1972	15990	0.0000	98.1426	15693	44	43	0.6680	9	5.30
contig_100	25.7368	67954	0.0000	99.9912	67948	275	315	0.6533	24	7.63
contig_1000	4.3043	1124	0.0000	100.0000	1124	4	3	0.4993	4	2.00
contig_10000	4.1827	6624	0.0000	96.1202	6367	10	8	0.6305	5	1.85
contig_10001	9.0032	2501	0.0000	100.0000	2501	10	15	0.6325	9	2.06
contig_10002	11.9816	11884	0.0000	100.0000	11884	30	20	0.6827	13	4.29
contig_10003	4.3763	8297	0.0000	96.9628	8045	15	12	0.6535	4	2.16
contig_10004	1.7016	3261	0.0000	100.0000	3261	2	3	0.7429	2	0.77
contig_10005	1.3989	5004	0.0000	58.4133	2923	5	6	0.6486	1	1.49
contig_10006	1.7067	4667	0.0000	70.7307	3301	7	5	0.6800	1	1.60
contig_10007	10.2242	1543	0.0000	100.0000	1543	10	10	0.6305	10	2.98
contig_10008	0.8688	1593	0.0000	51.3497	818	0	3	0.0000	1	1.08
contig_10009	9.2215	5333	0.0000	100.0000	5333	12	15	0.6294	9	4.12
contig_1001	10.3790	10793	0.0000	100.0000	10793	17	30	0.6550	10	3.12
contig_10010	4.3089	1952	0.0000	96.0041	1874	6	3	0.6762	5	1.70
contig_10011	5.5317	12680	0.0000	99.1798	12576	33	23	0.6607	5	2.56
contig_10012	9.5477	7305	0.0000	100.0000	7305	12	15	0.6367	9	2.04
contig_10013	3.1457	4373	0.0000	86.5767	3786	7	7	0.6068	3	2.20
contig_10014	2.9074	3704	0.0000	89.7678	3325	7	5	0.6063	3	2.17
contig_10015	6.5729	5549	0.0000	99.9640	5547	13	12	0.6027	7	1.97
contig_10016	4.2038	5313	0.0000	97.2897	5169	8	12	0.6322	4	1.22
contig_10017	3.5621	1811	0.0000	100.0000	1811	6	4	0.5786	4	1.37
contig_10018	4.8305	3853	0.0000	99.2733	3825	11	12	0.5837	5	2.46
contig_10019	7.5315	1857	0.0000	100.0000	1857	6	6	0.5904	7	1.31
contig_1002	13.1625	85583	0.0000	100.0000	85583	197	171	0.6573	13	3.52
contig_10021	3.3167	4057	0.0000	100.0000	4057	6	6	0.6559	3	1.73
contig_10022	7.2968	6210	0.0000	100.0000	6210	15	18	0.6369	8	1.49
contig_10023	18.9270	16538	0.0000	100.0000	16538	41	44	0.6715	20	4.85
contig_10024	6.7163	5696	0.0000	100.0000	5696	10	16	0.6808	7	1.66
contig_10025	4.8104	2168	0.0000	100.0000	2168	8	4	0.6144	5	2.23
contig_10026	4.1167	8390	0.0000	98.3433	8251	15	11	0.6365	4	2.01
contig_10027	2.4512	3163	0.0000	98.8935	3128	2	2	0.6272	3	1.01
contig_10028	8.9826	26806	0.0000	99.9925	26804	53	68	0.6539	9	3.04
contig_10029	1.7640	1716	0.0000	78.7296	1351	0	4	0.6677	2	1.19
contig_1003	10.3906	17185	0.0000	100.0000	17185	62	53	0.6396	8	7.67
contig_10030	10.1744	3337	0.0000	100.0000	3337	9	16	0.6138	9	2.98
contig_10033	20.6005	100066	0.0000	100.0000	100066	320	318	0.6536	21	4.99
contig_10034	1.2781	881	0.0000	86.1521	759	1	2	0.6616	1	0.69
contig_10035	3.7126	3814	0.0000	98.5317	3758	7	11	0.6577	4	1.01
contig_10036	1.1316	935	0.0000	65.8824	616	1	1	0.0000	1	0.89
contig_10037	2.3451	791	0.0000	100.0000	791	2	1	0.5583	3	0.82
